,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
96321,2008/7/1,Adelaide,8.8,15.7,5,1.6,2.6,NW,48,SW,W,13,15,92,67,1017.4,1017.7,NA,NA,13.5,14.9,TRUE,FALSE
96322,2008/7/2,Adelaide,12.7,15.8,0.8,1.4,7.8,SW,35,SSW,SW,13,15,75,52,1022.4,1022.6,NA,NA,13.7,15.5,FALSE,FALSE
96323,2008/7/3,Adelaide,6.2,15.1,0,1.8,2.1,W,20,NNE,SW,2,11,81,56,1027.8,1026.5,NA,NA,9.3,13.9,FALSE,FALSE
96324,2008/7/4,Adelaide,5.3,15.9,0,1.4,8,NNE,30,NNE,NE,6,13,71,46,1028.7,1025.6,NA,NA,10.2,15.3,FALSE,FALSE
96327,2008/7/7,Adelaide,7.6,11.2,16.2,4.6,1.1,WSW,46,WNW,SW,17,13,83,88,1015.9,1017.9,NA,NA,9.8,9.3,TRUE,TRUE
96328,2008/7/8,Adelaide,5.3,13.5,17,0.6,2.1,SW,43,SW,WSW,11,22,73,91,1025.8,1025.9,NA,NA,10.9,10.8,TRUE,TRUE
96329,2008/7/9,Adelaide,8.4,14.3,1.8,1.6,0.8,NW,41,N,NW,9,19,90,64,1025.8,1022.7,NA,NA,10.8,13.5,TRUE,TRUE
96330,2008/7/10,Adelaide,9.5,13.1,9,1.2,7.2,WSW,52,WSW,SW,24,20,54,66,1019.8,1019.6,NA,NA,10.9,11.2,TRUE,FALSE
96334,2008/7/14,Adelaide,10,15.4,3.8,7,0.5,N,48,W,W,15,19,85,72,1014,1015.4,NA,NA,13.2,15.2,TRUE,TRUE
96335,2008/7/15,Adelaide,11.1,14.7,4,2.8,2.3,WSW,43,W,WSW,17,24,91,72,1020.4,1020.1,NA,NA,12,13,TRUE,FALSE
96336,2008/7/16,Adelaide,6.3,14.1,0.2,1.6,3.8,NNW,39,NNE,N,7,19,74,52,1019.9,1015.3,NA,NA,10,13.9,FALSE,FALSE
96337,2008/7/17,Adelaide,9.8,14.7,0.2,1.6,3.5,NW,44,N,NW,17,22,58,61,1009.8,1007.4,NA,NA,10.5,14.7,FALSE,TRUE
96341,2008/7/21,Adelaide,6.5,14.2,6.8,4,3.8,SSE,41,S,S,13,15,69,55,1021.2,1024.7,NA,NA,11.9,12.8,TRUE,FALSE
96343,2008/7/23,Adelaide,5.4,14.2,0,1,9.2,ENE,19,ESE,NNW,7,9,49,36,1033.9,1029.8,NA,NA,10.7,13.7,FALSE,FALSE
96344,2008/7/24,Adelaide,2.6,14.9,0,1.4,7.2,NNW,28,N,NNW,9,13,58,38,1027.5,1023.4,NA,NA,8.8,14.5,FALSE,FALSE
96347,2008/7/27,Adelaide,2.8,11.8,1.6,NA,8.1,WSW,37,NE,SW,7,15,85,58,1018.1,1016.2,NA,NA,6.9,11.1,TRUE,FALSE
96348,2008/7/28,Adelaide,0.7,14,0,4.6,7.3,W,22,N,W,7,13,82,61,1024.1,1022.4,NA,NA,6.4,12.7,FALSE,FALSE
96349,2008/7/29,Adelaide,4.9,13,0,0.8,0.1,NNW,56,NE,NNE,17,19,51,45,1017.9,1010.3,NA,NA,10.5,12.5,FALSE,TRUE
96350,2008/7/30,Adelaide,8.5,16.1,3.4,1.4,7.2,WNW,28,NE,W,11,9,89,44,1013.7,1011.7,NA,NA,11.5,15.7,TRUE,FALSE
96351,2008/7/31,Adelaide,7.6,19.3,0.8,1.8,5,W,69,NNE,NW,17,20,56,52,1006.8,1005.2,NA,NA,14.4,18.1,FALSE,TRUE
96355,2008/8/4,Adelaide,9,13.8,8.2,4.4,4.4,NW,31,N,S,9,6,92,92,1014.8,1015.8,NA,NA,10.1,11.7,TRUE,TRUE
96356,2008/8/5,Adelaide,6.4,15,16.2,2.6,3.3,W,26,S,S,6,11,95,75,1025.5,1025.2,NA,NA,10.4,13.6,TRUE,TRUE
96357,2008/8/6,Adelaide,7.4,11.9,1.2,0.4,0.5,WSW,48,N,N,17,13,90,92,1021.3,1016.8,NA,NA,10,9.5,TRUE,TRUE
96358,2008/8/7,Adelaide,5.9,13.2,11.2,1.2,7,SW,43,SSW,WSW,9,17,70,52,1023.9,1024,NA,NA,9.6,11.9,TRUE,FALSE
96362,2008/8/11,Adelaide,4.4,13.8,22,5,9.3,WSW,37,N,W,9,17,87,57,1028.2,1025.9,NA,NA,7.7,13.3,TRUE,FALSE
96363,2008/8/12,Adelaide,6.8,14,0.8,1.6,5.6,WNW,46,NNW,W,11,17,92,67,1027,1025.6,NA,NA,9.9,13.2,FALSE,TRUE
96364,2008/8/13,Adelaide,5.3,13.9,2.2,1.6,9.2,SW,28,N,SW,7,15,97,58,1031.9,1030.8,NA,NA,7.1,12.8,TRUE,FALSE
96365,2008/8/14,Adelaide,5.8,12.8,0,2,0.8,SW,35,N,SW,7,20,78,55,1033.5,1030.3,NA,NA,8.9,12.2,FALSE,TRUE
96368,2008/8/17,Adelaide,6.7,14.1,6.2,NA,8.5,SW,39,SSW,SSW,4,17,89,47,1031.1,1029.6,NA,NA,9.9,13.8,TRUE,FALSE
96370,2008/8/19,Adelaide,5.5,15.7,0,0.8,2,NW,39,NNW,NW,11,19,75,42,1029.9,1026,NA,NA,10,15.1,FALSE,FALSE
96371,2008/8/20,Adelaide,7,17,0,1.8,5.1,WSW,43,NNE,NW,9,20,52,39,1023.5,1020.2,NA,NA,11.3,16.4,FALSE,TRUE
96372,2008/8/21,Adelaide,8.3,13.4,1.4,2,5.8,SW,57,SSE,SSW,15,17,64,49,1021.9,1023.9,NA,NA,10,12.2,TRUE,TRUE
96373,2008/8/22,Adelaide,3.3,12.7,2,1.6,8,WSW,37,S,SW,6,15,70,59,1032,1030.7,NA,NA,9.1,12.6,TRUE,FALSE
96374,2008/8/23,Adelaide,3.2,14.1,0.8,NA,3.6,WSW,24,N,SW,2,9,82,62,1034.1,1031.7,NA,NA,7.2,13.2,FALSE,FALSE
96375,2008/8/24,Adelaide,2.4,15.1,0,NA,7.4,NNW,20,N,WSW,6,13,68,51,1032.9,1029,NA,NA,9.2,13.5,FALSE,FALSE
96377,2008/8/26,Adelaide,3.6,17.5,0,2.2,10.3,WSW,31,NE,WSW,7,17,46,62,1024,1024.4,NA,NA,12.1,15.5,FALSE,FALSE
96378,2008/8/27,Adelaide,5.7,15.5,0,2.6,10.2,ESE,28,ESE,E,9,13,49,41,1031.2,1028.6,NA,NA,12.1,14.9,FALSE,FALSE
96379,2008/8/28,Adelaide,6.5,18.7,0,2.8,9.6,ESE,24,ENE,WSW,13,13,53,44,1028.7,1024.1,NA,NA,13.2,17.1,FALSE,FALSE
96382,2008/8/31,Adelaide,9.6,15.2,8.4,NA,6.2,WSW,50,NW,WSW,20,28,75,58,1013.1,1016.3,NA,NA,11.7,13.7,TRUE,FALSE
96383,2008/9/1,Adelaide,6.9,17.1,0.8,5.8,2.8,NW,44,NNW,WNW,17,26,76,54,1022.1,1021,NA,NA,10.5,16.4,FALSE,FALSE
