"","Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"136072","2008-12-01","AliceSprings",19.6,37.6,0,11.2,9.8,"WNW",87,"NNE","NE",20,11,17,16,1010.5,1005.8,0,3,30.4,37.2,FALSE,TRUE
"136073","2008-12-02","AliceSprings",21,39.1,1.2,9,12.2,"NNW",41,"NNW","S",24,9,18,13,1009.3,1004.6,2,5,32.5,38.2,TRUE,FALSE
"136074","2008-12-03","AliceSprings",22.9,40.9,0,11.6,12.6,"NNW",48,"ENE","N",7,24,17,11,1006.3,1003.4,0,3,35,40.4,FALSE,FALSE
"136075","2008-12-04","AliceSprings",24.7,40.5,0,16,7.8,"WNW",72,"SSW","W",2,22,29,24,1008.7,1006.9,3,6,32.3,36.5,FALSE,FALSE
"136076","2008-12-05","AliceSprings",23.4,32.4,0.2,12.2,4.1,"SSW",46,"S","S",9,17,58,43,1014,1010.7,7,6,26.8,31.1,FALSE,TRUE
"136077","2008-12-06","AliceSprings",21.7,25.1,2.6,8.4,0.2,"SSE",35,"SSW","N",19,11,90,78,1014.3,1011.1,8,7,21.9,22.9,TRUE,TRUE
"136078","2008-12-07","AliceSprings",20.9,25.7,4.8,4.6,2.1,"N",31,"SSW","NNW",11,17,70,77,1011.4,1009.9,7,8,25,24.3,TRUE,FALSE
"136079","2008-12-08","AliceSprings",17.7,34.6,0.6,3,12.2,"E",26,"ENE","NNW",15,9,63,27,1010.9,1005.9,3,1,24.5,33.6,FALSE,FALSE
"136080","2008-12-09","AliceSprings",24.4,39,0,8,11,"S",50,"N","WNW",28,11,40,20,1006.2,1002.6,3,3,32.5,38,FALSE,FALSE
"136081","2008-12-10","AliceSprings",25.3,38.6,0,11.8,8.7,"W",54,"NNE","WSW",22,35,38,51,1005.9,1004.4,4,7,32.8,29.6,FALSE,FALSE
"136082","2008-12-11","AliceSprings",25,32.3,0,12,4.2,"NW",63,"NNW","WSW",26,9,50,73,1005.6,1001.3,7,7,29.5,27.6,FALSE,TRUE
"136083","2008-12-12","AliceSprings",20.7,32.2,14.4,3.6,8.4,"NW",41,"NNW","WSW",13,19,88,37,1005.2,1002.7,6,6,22.5,31,TRUE,FALSE
"136084","2008-12-13","AliceSprings",16.6,26.6,0,9.6,13.3,"S",37,"S","S",26,24,55,39,1012.9,1009.6,3,1,20.7,25.9,FALSE,FALSE
"136085","2008-12-14","AliceSprings",13.7,26.8,0,9,13.3,"SSE",46,"SE","SSE",20,19,37,24,1014.1,1010.5,0,0,20.5,26,FALSE,FALSE
"136086","2008-12-15","AliceSprings",13.1,28.5,0,10.4,13.4,"ESE",35,"ESE","SE",20,13,30,15,1013.7,1009.6,0,0,21.7,27.3,FALSE,FALSE
"136087","2008-12-16","AliceSprings",13.6,31.7,0,10,13.4,"ENE",31,"E","SW",22,13,21,15,1011.9,1007.9,0,0,24.6,31.2,FALSE,FALSE
"136088","2008-12-17","AliceSprings",15.7,36.3,0,9.8,13.4,"W",35,"NE","W",9,9,18,11,1009.3,1004.9,0,0,29.2,36,FALSE,FALSE
"136089","2008-12-18","AliceSprings",19.6,36.9,0,10.6,10.4,"S",41,"SSW","SSW",15,17,21,12,1007.4,1004.9,3,2,31,36.2,FALSE,FALSE
