"","Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"3042","2009-01-02","BadgerysCreek",14.7,26.1,0,NA,NA,"SE",46,"SE","SE",7,24,59,54,1012.9,1013.5,NA,NA,20.7,22.2,FALSE,FALSE
"3043","2009-01-03","BadgerysCreek",13.6,22.3,0,NA,NA,"NNE",30,"ESE","NE",6,15,57,51,1021.9,1019.2,NA,NA,17.9,21.7,FALSE,FALSE
"3044","2009-01-04","BadgerysCreek",17.7,31.2,0,NA,NA,"NE",39,"NNE","N",9,15,62,43,1018.7,1013.6,NA,NA,22,30.6,FALSE,FALSE
"3045","2009-01-05","BadgerysCreek",15.5,38.8,0,NA,NA,"SW",50,"NNE","W",7,17,67,19,1013.2,1007.6,NA,NA,22.7,37.6,FALSE,FALSE
"3046","2009-01-06","BadgerysCreek",14,39.3,0,NA,NA,"ESE",35,"N","ENE",6,15,56,13,1011.9,1006.9,NA,NA,24.2,38,FALSE,FALSE
"3047","2009-01-07","BadgerysCreek",15.3,40.3,0,NA,NA,"W",63,"N","WNW",6,30,69,19,1010.1,1004.6,NA,NA,23.3,39.8,FALSE,FALSE
"3048","2009-01-08","BadgerysCreek",18.9,22.3,0,NA,NA,"SE",31,"SSE","SE",11,19,75,70,1012.7,1013.6,NA,NA,20.5,20.1,FALSE,FALSE
"3049","2009-01-09","BadgerysCreek",14.8,22.4,0.4,NA,NA,"E",33,"SSE","E",15,19,65,46,1020.6,1018.8,NA,NA,17.6,21.1,FALSE,FALSE
"3050","2009-01-10","BadgerysCreek",11.9,26,0.2,NA,NA,"ENE",37,"SSW","ENE",4,13,63,43,1017.2,1013.2,NA,NA,18,24.2,FALSE,FALSE
"3051","2009-01-11","BadgerysCreek",12.6,30.2,0,NA,NA,"E",41,"N","E",7,19,61,40,1014.3,1010.1,NA,NA,21.6,29,FALSE,TRUE
"3052","2009-01-12","BadgerysCreek",15.3,29.4,4,NA,NA,"ESE",37,"SW","ESE",4,22,78,50,1016,1015.8,NA,NA,21.2,27.7,TRUE,FALSE
"3053","2009-01-13","BadgerysCreek",18.4,32.7,0,NA,NA,"NNE",39,"NNE","ENE",7,17,83,40,1019.7,1015.3,NA,NA,21.5,30.5,FALSE,FALSE
"3054","2009-01-14","BadgerysCreek",15.9,39.9,0,NA,NA,"ENE",50,"ENE","NE",6,13,70,21,1014.7,1009.6,NA,NA,23.9,39.2,FALSE,FALSE
"3055","2009-01-15","BadgerysCreek",18,42.9,0,NA,NA,"SE",50,"E","WSW",7,17,43,16,1009.3,1005.5,NA,NA,29.1,40.7,FALSE,FALSE
