"","Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"55103","2008-12-01","Ballarat",5.8,17.6,3.2,NA,NA,"W",52,"W","WNW",26,30,71,37,1008.2,1007.5,6,NA,10.4,15.7,TRUE,FALSE
"55104","2008-12-02","Ballarat",4.3,19.5,0.4,NA,NA,"WNW",44,"WNW","WNW",20,24,66,47,1009.3,1007.3,6,8,12.5,17.6,FALSE,FALSE
"55105","2008-12-03","Ballarat",9.5,18.8,0.6,NA,NA,"W",43,"WSW","SW",22,20,82,42,1009.5,1011.5,4,8,11.2,16.5,FALSE,FALSE
"55106","2008-12-04","Ballarat",6.7,21.8,0.2,NA,NA,"NNE",39,"ENE","N",9,22,60,33,1016.2,1012.6,4,NA,14.4,20.6,FALSE,TRUE
"55107","2008-12-05","Ballarat",13.3,25.6,1.2,NA,NA,"NW",61,"NNW","NW",30,39,74,40,1006.6,1005.5,6,1,18.3,24.3,TRUE,FALSE
"55108","2008-12-06","Ballarat",9.6,23,0,NA,NA,"WNW",61,"WNW","WNW",15,39,76,42,1009.6,1005.7,6,6,13.8,20.8,FALSE,FALSE
"55109","2008-12-07","Ballarat",4.6,16.4,0,NA,NA,"SW",39,"SW","SW",20,24,71,42,1012.3,1012.1,4,4,9.6,15.6,FALSE,FALSE
"55110","2008-12-08","Ballarat",2.9,23.1,0.2,NA,NA,"NW",43,"SSE","WSW",17,7,64,30,1014,1010.5,4,NA,9.7,20.6,FALSE,FALSE
"55111","2008-12-09","Ballarat",5.3,17.6,0,NA,NA,"S",35,"NW","SSE",9,19,55,87,1007.5,1006.4,8,8,13.2,12.4,FALSE,TRUE
"55112","2008-12-10","Ballarat",8.3,18.3,5,NA,NA,"SE",50,"SSE","SE",28,22,71,43,1011.8,1010.9,6,NA,10.6,18.1,TRUE,FALSE
"55113","2008-12-11","Ballarat",6.9,23.8,0,NA,NA,"SSE",54,"SE","SSE",28,26,67,28,1013.8,1011,0,NA,12.2,22.9,FALSE,FALSE
"55114","2008-12-12","Ballarat",12.1,19.6,0,NA,NA,"SE",41,"NE","E",24,11,47,97,1006.2,1002.2,8,8,18.8,15.3,FALSE,TRUE
"55115","2008-12-13","Ballarat",13.1,13.9,53.6,NA,NA,"SW",63,"SSW","SW",26,39,99,99,990.5,996.5,8,8,13.5,13,TRUE,TRUE
"55116","2008-12-14","Ballarat",10,16.2,11,NA,NA,"SSW",46,"SSW","SW",19,26,99,71,1005.8,1007.5,8,7,11,15,TRUE,TRUE
"55117","2008-12-15","Ballarat",8.3,18.7,1.4,NA,NA,"W",37,"SW","WNW",17,20,72,50,1012.3,1011.2,8,4,9.2,16.9,TRUE,FALSE
"55118","2008-12-16","Ballarat",7.9,19.1,0,NA,NA,"W",35,"W","W",15,24,84,57,1012.5,1011.6,7,NA,13.4,17.9,FALSE,TRUE
"55119","2008-12-17","Ballarat",10.3,20.1,1.8,NA,NA,"ESE",31,"S","WSW",7,7,91,64,1012.3,1008.8,7,8,12.3,18.7,TRUE,FALSE
"55120","2008-12-18","Ballarat",11.1,19.2,0.6,NA,NA,"SSW",48,"SW","WSW",15,22,86,49,1005.6,1005.1,7,6,13.6,18.8,FALSE,TRUE
"55121","2008-12-19","Ballarat",6.3,16.9,1.4,NA,NA,"SSW",52,"SSW","SSW",26,26,69,41,1014.1,1014.6,6,1,8.9,16.3,TRUE,FALSE
"55122","2008-12-20","Ballarat",5.5,21.4,0,NA,NA,"SSE",37,"SSE","SE",22,20,76,44,1020.4,1018,6,NA,11.6,20.6,FALSE,FALSE
"55123","2008-12-21","Ballarat",6.8,26.7,0,NA,NA,"N",46,"NNE","N",20,28,44,32,1017.6,1013.8,1,NA,19.2,25.2,FALSE,FALSE
"55124","2008-12-22","Ballarat",18.8,32.2,0,NA,NA,"NNW",72,"N","NNW",44,41,39,21,1007.6,1004.2,6,2,22.3,30.2,FALSE,FALSE
"55125","2008-12-23","Ballarat",10.5,20.1,0,NA,NA,"SSW",44,"SSW","S",26,24,90,52,1013.2,1012.7,8,4,11.2,18,FALSE,FALSE
"55126","2008-12-24","Ballarat",7.2,24.8,0.2,NA,NA,"SW",33,"SE","WSW",15,17,68,27,1013.2,1011.3,2,NA,12.8,24,FALSE,FALSE
"55127","2008-12-25","Ballarat",8.8,25.5,0,NA,NA,"WSW",37,"SE","SSW",13,9,61,32,1014.2,1012.3,2,NA,15.9,22.7,FALSE,FALSE
"55128","2008-12-26","Ballarat",10.6,28.9,0,NA,NA,"ESE",46,"N","WNW",22,11,42,32,1010.3,1008.1,5,8,21.4,26.9,FALSE,FALSE
"55129","2008-12-27","Ballarat",11.3,28,0,NA,NA,"S",43,"N","W",13,19,55,43,1006.1,1003.2,4,1,22.6,26.5,FALSE,FALSE
"55130","2008-12-28","Ballarat",7.6,25.6,0,NA,NA,"WSW",44,"NNW","WSW",17,26,62,44,1003.9,1002.7,3,7,17.9,22.8,FALSE,FALSE
"55131","2008-12-29","Ballarat",9.3,19.8,0,NA,NA,"W",46,"WSW","SW",17,24,70,40,1008.2,1008,6,4,11.8,17.4,FALSE,TRUE
"55132","2008-12-30","Ballarat",10.2,20.1,2.4,NA,NA,"W",61,"WSW","W",22,37,99,45,1003.6,1003.2,8,8,11.9,18,TRUE,FALSE
"55133","2008-12-31","Ballarat",9,20.4,0.2,NA,NA,"NW",39,"WSW","NW",15,26,81,44,1006.1,1004.7,8,6,10.6,17.2,FALSE,FALSE
"55134","2009-01-01","Ballarat",8.3,17,0.2,NA,NA,"SW",54,"W","WSW",26,30,87,48,1004.7,1006.5,8,8,11.6,16,FALSE,FALSE
"55135","2009-01-02","Ballarat",3,17,0.4,NA,NA,"SSW",52,"SW","SSW",26,28,70,35,1017.2,1017.6,6,5,9.1,15.9,FALSE,FALSE
"55136","2009-01-03","Ballarat",0.7,22.5,0,NA,NA,"SE",31,"SSE","SSW",20,11,61,26,1018.7,1015.9,2,NA,11.7,20,FALSE,FALSE
"55138","2009-01-05","Ballarat",8.3,29.6,0,NA,NA,"W",41,"NW","WSW",6,20,42,12,1012.1,1010.6,3,NA,19.2,28.3,FALSE,FALSE
"55139","2009-01-06","Ballarat",10.8,30.3,0,NA,NA,"SSW",41,"WNW","WSW",9,19,48,30,1010.6,1008,0,NA,20.1,29.9,FALSE,FALSE
"55140","2009-01-07","Ballarat",13.6,21.1,0,NA,NA,"SSW",44,"S","SSW",15,24,99,64,1009.2,1009.9,8,3,14.4,18,FALSE,FALSE
"55141","2009-01-08","Ballarat",7.3,18.2,0,NA,NA,"SSW",50,"SSW","SSW",26,28,71,36,1016.7,1017.2,3,NA,11.4,16.9,FALSE,FALSE
"55142","2009-01-09","Ballarat",4.3,20.4,0,NA,NA,"SE",44,"SE","SSE",24,20,57,32,1019.5,1016.3,3,NA,12.4,19.6,FALSE,FALSE
"55143","2009-01-10","Ballarat",9,26.7,0,NA,NA,"SE",44,"SE","W",13,6,61,16,1011.9,1008.6,4,NA,15.4,24.9,FALSE,FALSE
"55144","2009-01-11","Ballarat",9.3,27.1,0,NA,NA,"SSW",48,"SE","WSW",15,15,70,19,1010,1008.9,6,NA,15.2,25.1,FALSE,FALSE
"55145","2009-01-12","Ballarat",8.7,26.6,0,NA,NA,"ESE",39,"S","SSE",20,17,86,30,1017.6,1015.9,8,NA,12.9,24.2,FALSE,FALSE
"55146","2009-01-13","Ballarat",8.6,34.9,0,NA,NA,"N",50,"N","NW",20,22,20,13,1013.8,1010.5,0,NA,25,33.1,FALSE,FALSE
"55147","2009-01-14","Ballarat",20.3,33.9,0,NA,NA,"S",41,"N","WSW",19,13,16,25,1009,1007.8,1,NA,27.5,32.7,FALSE,FALSE
"55148","2009-01-15","Ballarat",11.1,23.5,0,NA,NA,"SSW",48,"SW","SW",28,22,63,33,1014.8,1014.2,5,NA,13.7,21.8,FALSE,FALSE
"55149","2009-01-16","Ballarat",9.8,18.6,0,NA,NA,"WSW",54,"WSW","SW",26,30,66,43,1017.2,1018.3,6,6,12.6,16.3,FALSE,FALSE
"55150","2009-01-17","Ballarat",6.1,21.7,0,NA,NA,"SSE",44,"SSE","SSE",28,22,54,32,1021.3,1020.6,1,NA,12.5,20.2,FALSE,FALSE
"55151","2009-01-18","Ballarat",6.1,29.1,0,NA,NA,"SE",35,"SE","SW",20,19,38,13,1019.4,1017.2,0,NA,16.6,28,FALSE,FALSE
"55152","2009-01-19","Ballarat",8.9,34.2,0,NA,NA,"S",43,"N","NNW",20,24,20,8,1013.8,1009.8,0,NA,24.5,32.5,FALSE,FALSE
"55153","2009-01-20","Ballarat",13.7,36.5,0,NA,NA,"NW",67,"N","SW",22,30,21,18,1006.7,1006.7,0,NA,26.5,31,FALSE,FALSE
"55154","2009-01-21","Ballarat",10.1,32.1,0,NA,NA,"SSW",43,"S","NW",7,15,66,17,1009.5,1006.2,3,NA,17,29.9,FALSE,FALSE
"55155","2009-01-22","Ballarat",13.6,30.6,0,NA,NA,"NNW",83,"N","NW",37,50,28,28,998.5,996.6,7,2,21.2,27,FALSE,FALSE
"55156","2009-01-23","Ballarat",4.9,27.1,0,NA,NA,"NNW",54,"NNW","N",11,30,58,18,1007,1003,3,NA,13.4,24.8,FALSE,FALSE
"55157","2009-01-24","Ballarat",11.1,21.6,0,NA,NA,"WNW",54,"WSW","WSW",28,28,77,33,1007.3,1010.8,NA,NA,12.9,20.2,FALSE,FALSE
"55158","2009-01-25","Ballarat",5.5,29.6,0,NA,NA,"SE",37,"SSE","SW",9,13,49,7,1016.9,1016.2,0,NA,16.7,28.1,FALSE,FALSE
"55160","2009-01-27","Ballarat",10.3,36.3,0,NA,NA,"ESE",39,"NNE","NNW",11,9,51,11,1016.8,1014.1,0,NA,20.3,34.5,FALSE,FALSE
