"","Date","Location","MinTemp","MaxTemp","Rainfall","Evaporation","Sunshine","WindGustDir","WindGustSpeed","WindDir9am","WindDir3pm","WindSpeed9am","WindSpeed3pm","Humidity9am","Humidity3pm","Pressure9am","Pressure3pm","Cloud9am","Cloud3pm","Temp9am","Temp3pm","RainToday","RainTomorrow"
"58143","2008-12-01","Bendigo",9.1,21.7,0,7.4,NA,"W",44,"WNW","WSW",20,20,47,23,1009.1,1007.5,2,5,14,19.4,FALSE,FALSE
"58144","2008-12-02","Bendigo",6.2,23,0,8.8,NA,"W",48,"WNW","WNW",20,26,49,29,1010.4,1007.8,1,5,15.2,21.2,FALSE,FALSE
"58145","2008-12-03","Bendigo",10.8,23.7,0,6.2,NA,"WSW",44,"SW","W",17,24,49,23,1009.4,1010.7,5,3,17.1,21.8,FALSE,FALSE
"58146","2008-12-04","Bendigo",8.2,24.6,0,5.8,NA,"NNE",41,"SE","NNE",17,13,50,22,1017,1012.5,2,8,16.1,23.6,FALSE,FALSE
"58147","2008-12-05","Bendigo",15.1,30.3,0.2,5.8,NA,"NW",54,"NW","W",19,31,68,29,1008,1005,7,1,21.3,29.2,FALSE,FALSE
"58148","2008-12-06","Bendigo",9.9,27.2,0.2,9.6,NA,"WNW",54,"WNW","NW",9,30,60,29,1010,1005.6,1,4,18,26.2,FALSE,FALSE
"58149","2008-12-07","Bendigo",8,22,0.2,4.4,NA,"SW",43,"SSW","SSW",22,15,47,26,1012.4,1010.7,1,1,13.1,20.4,FALSE,FALSE
"58150","2008-12-08","Bendigo",7.8,25.5,0,5.6,NA,"W",35,"S","WSW",11,17,47,17,1014.2,1010.6,0,1,13.9,23.5,FALSE,FALSE
"58151","2008-12-09","Bendigo",9.7,22,0,6.6,NA,"WSW",39,"SSE","WSW",7,17,44,42,1007,1006.2,7,8,16.5,18.9,FALSE,TRUE
"58152","2008-12-10","Bendigo",9.8,23.2,3.2,2,NA,"SE",39,"SE","S",24,17,62,30,1010.4,1009.3,1,3,15.3,21.6,TRUE,FALSE
"58153","2008-12-11","Bendigo",8.7,28.7,0.2,7.2,NA,"SSE",43,"SSE","ESE",22,13,43,13,1012.8,1009.7,1,2,16.8,26.3,FALSE,FALSE
"58154","2008-12-12","Bendigo",16.5,19.9,0,7.4,NA,"ENE",44,"NE","ENE",13,20,57,94,1007.1,1001.9,8,8,19.4,16.6,FALSE,TRUE
"58155","2008-12-13","Bendigo",14.1,20.2,30.4,0.8,NA,"SW",70,"WNW","SW",13,33,94,68,989.5,994.6,8,6,15.6,18.6,TRUE,TRUE
"58156","2008-12-14","Bendigo",10.9,21.5,4,3.2,NA,"S",50,"SSW","SSW",19,28,79,41,1004.7,1005.4,8,6,14.4,20.8,TRUE,FALSE
"58157","2008-12-15","Bendigo",9.9,21.2,0,6.4,NA,"S",41,"S","WSW",13,19,58,37,1012.7,1011.2,7,1,11.8,18.8,FALSE,FALSE
"58158","2008-12-16","Bendigo",7.9,23.9,0,3,NA,"W",39,"W","WNW",13,19,49,41,1012.5,1011.2,1,6,18.3,22,FALSE,TRUE
"58159","2008-12-17","Bendigo",13.5,22,1.2,5.2,NA,"N",24,"SSE","NNE",4,11,86,58,1012.5,1008.4,7,7,14.9,20.9,TRUE,TRUE
"58160","2008-12-18","Bendigo",12.7,21.8,10,3.4,NA,"SSW",44,"N","SW",7,20,95,44,1006.1,1004.1,8,3,14.7,20.3,TRUE,TRUE
"58161","2008-12-19","Bendigo",8.4,20.3,5.8,4.2,NA,"SSE",43,"S","SSE",20,19,58,32,1013.5,1013.6,3,2,12.3,17.8,TRUE,FALSE
"58162","2008-12-20","Bendigo",6.3,24.4,0,6.2,NA,"SE",35,"SE","SE",22,11,51,24,1019.9,1017.3,1,1,14.8,23,FALSE,FALSE
"58163","2008-12-21","Bendigo",11.2,28.6,0,6.4,NA,"NNE",41,"NE","NNE",19,24,54,24,1018.1,1013.8,1,6,19,26.7,FALSE,FALSE
